symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration,,,,,,,,
ZNM4,5,1,0.015625,49137411501,49137411507,1,111 205,111 210,$15.62,03/07/2024 16:12:57,03/07/2024 16:13:02,4sec,,,,,,,,
ZNM4,5,1,0.015625,49137411561,49137411573,2,111 235,111 235,$0.00,03/08/2024 10:54:12,03/08/2024 10:54:39,27sec,,,,,,,,
ZNM4,5,1,0.015625,49137411613,49137411621,1,111 260,111 265,$15.62,03/11/2024 10:49:38,03/11/2024 10:50:08,30sec,,,,,,,,
ZNM4,5,1,0.015625,49137411668,49137411686,1,111 235,111 235,$0.00,03/11/2024 15:27:22,03/11/2024 15:31:13,3min 50sec,,,,,,,,
ZNM4,5,1,0.015625,49137411677,49137411691,1,111 230,111 235,$15.62,03/11/2024 15:31:07,03/11/2024 15:31:13,6sec,,,,,,,,
ZNM4,5,1,0.015625,49137411720,49137411732,1,111 225,111 230,$15.62,03/11/2024 15:48:11,03/11/2024 15:51:37,3min 26sec,,,,,,,,
ZNM4,5,1,0.015625,49137411723,49137411737,1,111 225,111 230,$15.62,03/11/2024 15:48:11,03/11/2024 15:51:37,3min 26sec,,,,,,,,
ZNM4,5,1,0.015625,49137411810,49137411816,1,111 200,111 205,$15.62,03/12/2024 11:45:50,03/12/2024 11:51:26,5min 36sec,,,,,,,,
ZNM4,5,1,0.015625,49137411976,49137412012,1,111 065,111 065,$0.00,03/13/2024 10:57:00,03/13/2024 10:59:49,2min 49sec,,,,,,,,
ZNM4,5,1,0.015625,49137411979,49137412050,1,111 065,111 065,$0.00,03/13/2024 10:57:00,03/13/2024 11:05:35,8min 34sec,,,,,,,,
ZNM4,5,1,0.015625,49137411994,49137412109,1,111 060,111 050,$(31.25),03/13/2024 10:58:01,03/13/2024 11:29:35,31min 33sec,,,,,,,,
ZNM4,5,1,0.015625,49137412103,49137412126,1,111 045,111 055,$31.25,03/13/2024 11:26:10,03/13/2024 11:36:57,10min 46sec,,,,,,,,
ZNM4,5,1,0.015625,49137412170,49137412155,1,111 020,111 025,$15.62,03/13/2024 19:09:04,03/13/2024 19:08:22,42sec,,,,,,,,
ZNM4,5,1,0.015625,49137412199,49137412190,1,111 010,111 015,$15.62,03/13/2024 19:36:05,03/13/2024 19:35:02,1min 2sec,,,,,,,,
ZNM4,5,1,0.015625,49137412228,49137412237,1,111 005,111 010,$15.62,03/13/2024 19:45:50,03/13/2024 19:49:36,3min 46sec,,,,,,,,
ZNM4,5,1,0.015625,49137412286,49137412295,1,110 260,110 265,$15.62,03/14/2024 10:36:10,03/14/2024 10:36:11,1sec,,,,,,,,
ZNM4,5,1,0.015625,49137412390,49137412366,1,110 285,110 290,$15.62,03/14/2024 11:51:51,03/14/2024 11:48:15,3min 35sec,,,,,,,,
ZNM4,5,1,0.015625,49137412430,49137412439,1,110 065,110 070,$15.62,03/15/2024 10:37:01,03/15/2024 10:37:24,22sec,,,,,,,,
ZNM4,5,1,0.015625,49137412471,49137412459,1,110 085,110 090,$15.62,03/15/2024 10:52:18,03/15/2024 10:51:09,1min 9sec,,,,,,,,
ZNM4,5,1,0.015625,49137412521,49137412530,1,110 075,110 080,$15.62,03/15/2024 11:41:15,03/15/2024 11:41:37,22sec,,,,,,,,
ZNM4,5,1,0.015625,49137412666,49137412677,1,109 280,109 285,$15.62,03/19/2024 10:23:01,03/19/2024 10:23:48,46sec,,,,,,,,
ZNM4,5,1,0.015625,49137412712,49137412718,1,109 290,109 295,$15.62,03/19/2024 10:43:53,03/19/2024 10:46:34,2min 40sec,,,,,,,,
ZNM4,5,1,0.015625,49137412771,49137412765,1,109 305,109 310,$15.62,03/19/2024 11:05:20,03/19/2024 11:05:04,15sec,,,,,,,,
ZNM4,5,1,0.015625,49137412779,49137412788,1,109 295,109 300,$15.62,03/19/2024 11:16:05,03/19/2024 11:20:18,4min 13sec,,,,,,,,
ZNM4,5,1,0.015625,49137412882,49137412891,2,110 080,110 085,$31.25,03/20/2024 10:16:28,03/20/2024 10:17:12,43sec,,,,,,,,
ZNM4,5,1,0.015625,49137412935,49137412926,2,110 095,110 100,$31.25,03/20/2024 10:29:30,03/20/2024 10:29:18,12sec,,,,,,,,
ZNM4,5,1,0.015625,49137413003,49137413021,2,110 075,110 075,$0.00,03/20/2024 11:22:48,03/20/2024 11:23:18,29sec,,,,,,,,
ZNM4,5,1,0.015625,49137413012,49137413053,2,110 070,110 080,$62.50,03/20/2024 11:23:10,03/20/2024 11:29:44,6min 33sec,,,,,,,,
ZNM4,5,1,0.015625,49137413090,49137413099,2,110 150,110 155,$31.25,03/21/2024 10:14:49,03/21/2024 10:15:00,10sec,,,,,,,,
ZNM4,5,1,0.015625,49137413137,49137413158,1,110 175,110 180,$15.62,03/21/2024 10:32:59,03/21/2024 10:34:46,1min 46sec,,,,,,,,
ZNM4,5,1,0.015625,49137413137,49137413163,1,110 175,110 180,$15.62,03/21/2024 10:32:59,03/21/2024 10:34:46,1min 46sec,,,,,,,,
ZNM4,5,1,0.015625,49137413180,49137413189,2,110 180,110 185,$31.25,03/21/2024 10:42:36,03/21/2024 10:43:47,1min 10sec,,,,,,,,
ZNM4,5,1,0.015625,49137413227,49137413203,2,110 205,110 205,$0.00,03/21/2024 10:49:39,03/21/2024 10:47:11,2min 28sec,,,,,,,,
ZNM4,5,1,0.015625,49137413256,49137413235,2,110 220,110 215,$(31.25),03/21/2024 10:53:58,03/21/2024 10:51:09,2min 49sec,,,,,,,,
